# Folkets lexikon sv→en (CC BY-SA 2.5)
# 36329 entries from folkets-lexikon.csc.kth.se
-procentig	per cent
bo|sättning	settlement
bo|uppteckning	estate inventory
bo|utredning	estate administration
bra	excellent, excellently, fine, good, well
bracka	boor, philistine
bragd	exploit, feat
brak	crash
braka	crash
bralla	(pants [US]), trousers
brand	fire
brandalarm	fire alarms
brandbefäl	fire officer, fireman
brandbekämpning	fire-fighting
brandbil	fire truck
branddörr	fire door
brandfara	danger for fire
brandfarlig	flammable
brandkatastrof	fire disaster
brandlarm	brandlarm, fire alarm, fire alarms
brandman	firefighter
brandplats	fire place
brandrök	fire smoke, smoke, smoke from fire, smoke of fire
brandskydd	Fireprotection, fire break, fire-shield, firewall, firewall
brandslang	fire hose
brandsoldat	firefighter
brandsäker	fire proof, fireproof
brandvägg	firewall
brand|fackla	firebomb, torch
brand|försvar	fire protection, fire services
brand|gul	orange, reddish yellow
brand|kår	fire brigade, (fire department [US])
brand|post	fire hydrant
brand|tal	inflammatory speech
brand|varnare	fire detector, automatic fire alarm
brandövning	fire drill
brann	burned, burnt, was on fire
bransch	(branch of) trade (industry)
branschkännedom	field expertise
branschorganisation	business association
branschspecifik	industry-specific
brant	(steep) slope, precipitous, steep, verge
brasa	bonfire, fire
brasiliansk	brazilian
brasilien	Brazil, brasil
braskande	ostentatious, showy
brask|lapp	parcipitate, reservation, saving clause
brass	brass
brassa på	fire away, stoke up
brasserie	brasserie
brast	broke, burst, fell short, split, was lacking
braständare	firelighters
bravad	achievement, exploit
bravo	bravo, well done
bravur	dash, verve
breakdans	break dance
bred	broad, wide
breda	spread
breda ut sig	spread
bredare	broader
bredbandstjänster	broad band services
bredbar	easy-to-spread, spreadable
bredd	breadth, latitude, wide range, width
bredda	broaden, widen
bredvid	adjacent to, beside, by the side of
bred|sida	broadside
brer	spread
brett	Wide, broad
brev	letter
brevbärare	maildeliverer, mailman, postman, post man, postman
brevduva	homing pigeon
brevfråga	mail question
brevförsändelse	letter
brevledes	mailwise
brevskrivning	letter writing
brevsortering	sieve
brevutbärning	postal service
brevväxla	correspond
brev|låda	(mailbox [US]), letterbox
bricka	tray, washer
bridge	bridge
brigad	brigade
briljans	brilliance
briljant	brilliant, diamond, splendid
briljera	show off
brillor	glasses, specs
bringa	breast, bring, brisket, convey
brink	bank, hill
brinna	be on fire, burn
brinnande	burning
brinntid	burn time
bris	breeze
brisad	explosion
brisera	burst, detonate, explode
brist	lack, scarcity, want
brist på direktiv	directionlessness, lack of direction, lack of direction(s), lack of guidance
brista	be lacking, break, burst, fall short, snap, split
bristande	lacking
bristen	shortage, the deficiency, the lack, the shortage
brist|fällig	defective, faulty; insufficient
brist|yrke	occupation or profession with a shortage of skilled labour
brits	bunk
britt	Briton
brittisk	British
brittiskflaggade	british-flagged
brittisktillverkad	british-made
brittsommar	Indian summer
brittsommarväder	Indian summer weather
bro	bridge
brobygge	bridgeconstruction
broccoli	broccoli
broder	brother
brodera	embroider
broderliga	brotherly
broderligt	brotherly
brodersax	embroidery scissors
broderskap	brotherhood, fraternity
broderskärlek	brother love, brotherly love
brofäste	bridge attach, bridgehead
broiler	broiler
brokig	motley, multicolored, parti-coloured
bromförgiftning	bromine poisoning
broms	brake, gad-fly, horse-fly
bromsa	brake, apply the brake, put the brake on
bromskloss	brake pad, break block, obstructionist
bromsklossar	brake pads
bromslarv	co-regulation
bromspedal	brake pedal
bronkit	bronchitis
brons	bronze
bronsfärg	bronze-colored
bronsfärgad	measels
bronsmynt	bronze coins
bronsplatta	bronze plate
brons|ålder	the Bronze Age
bror	brother
brorsa	brother
brorsbarn	nephews
bror|son	nephew
broräcket	bridge railing
brosch	brooch
broschyr	brochure
brosk	cartilage
brott	break, crime, fracture, offence, quarry
brottare	wrestler
brottarklubb	Wrestling club
brottas	wrestle
brottning	wrestling
brottningsmatch	wrestling match
brottningstävling	wrestling contest
brottsbekämpning	crime-fighting
brottsförebyggande	crime prevention, crime-preventive, meticulously
brottslig	criminal
brottslighet	crime, criminality
brottsling	criminal
brottsoffer	victim of crime
brottsplats	Crime scene
brottsplatsundersökning	crime scene investigation
brottssäker	crime-proof
brottstyp	type of offense
brotts|balken	the Penal Code
brott|stycke	fragment
brovalv	bridge arch
brud	bride
brudgum	bridegroom
brudmarsch	bridal march
brudpar	bridal couple
brudtärna	bridesmaid
bruk	custom, factory, mill, practice, usage, use, works
bruka	be in the habit of, cultivate, farm, till, use to
brukare	user
brukas	being used
brukbar	usable, usable; (agri-)culturable, useable, useable, serviceable, useful
bruklig	useful
bruksanvisning	manual
bruksartikel	utility goods
bruks|värde	utility value
brumma	buzz, growl, hum
brun	brown
bruna bönor	brown beans
brunbjörn	brown bear
brunbränd	tanned
brunch	brunch
brunett	brunette
brunkolet	the lignite
brunn	spa, watering place, well
brunnit	been on fire, burned, burnt
brunst	heat, rut
brunsten	manganese dioxide
brun|ögd	brown-eyed
brus	disturbance, noise, roar, rush
brusa	roar, rush, surge
brusa upp	flare up
brusten	broken, burst
brustit	broken, burst
brus|tablett	effervescent tablet
brutal	brutal
brutalisera	brutalize
brutalitet	brutality
bruten	broken
brutit	broken
brutto	gross
bruttoomsättning	emphasis
bruttopris	gross price
brutto|lön	gross wages (salary)
brutto|nationalprodukt	gross national product
bry	care
bry sig	care
bry sig om	care, mind, worry
bryderi	embarrassment, perplexity
brygd	brew
brygga	brew, bridge, jetty, landing-stage, make, produce
bryggare	coffee maker, percolator
bryggeri	brewery
bryggeriföretag	brewery, brewery company, brewing company, brocase
brygghus	bridge house
bryggmästare	brewing master, brewmaster
brygg|malen	fine-grind
bryn	edge, verge
bryna	brown
bryne	whetstone
brynja	chainmail
bryr	care
brysk	brusque, curt
brysselkål	brussel sprouts
bryta	break
bryta ned	break down, decompose
bryta samman	break down, collapse
bryta upp	break up, depart, leave
bryta ut	break out
brytböna	green bean
brytning	accent, break, rupture, flavour, mining, nuance, quarrying, refraction, shade
brytningspunkt	breaking point
brytpunkt	breaking point, breakpoint, way point, waypoint, weypoint
bräcka	break, crack, fry
bräcklig	brittle, delicate, fragile, frail
bräckt	brackish
bräck|järn	crowbar, jemmy
bräda	board, plank
brädd	brim
bräde	board
bräderna	boards, the boards
brädsegla	sailboard, windsurf
brädspel	board game
bräka	bleat
bräm	border, edge, trimming
bränd	burned, burnt
bränna	bake, burn, distil, incinerate
bränna sig	burn oneself, scald oneself
bränna vid	burn
brännande	burning
brännas	burn
brännbar	combustible, inflammable
brännboll	rounders
brännhet	burning hot, scorching
bränning	breaker, burning, incineration, surf
brännmanet	jellyfish, stinging jellyfish
brännmärka	brand, condemn
brännmärkte	burn mark
brännoffer	burn victim
brännsår	burns
brännugn	furnace
brännvinsflaska	vodka bottle
bränn|punkt	centre, focal point, focus
bränn|vin	aquavit, snaps
brännässla	(stinging) nettle
bränsle	fuel
bränslebaserad	fuel-based, fuelbased
bränslebehov	fuel need
bränslebrist	fuel shortage
bränsleeffektiv	fuel-efficient
bränsleförbrukning	fuel consumption, fuel consumtion
bränslemätare	fuel gauge, petrol gauge
bränslepris	fuel price, fuel prices
bränslesensor	fuel sensor
bränslesnål	fuel efficient
bränsletank	fuel tank, fueltank
bräsch	breach
bräsera	poche
brätte	brim
bråck	hernia
bråd	busy, hasty, sudden
brådis	in a hurry, urgent
brådska	bustle, hurry
brådskande	pressing, urgent
bråd|djup	abyss, precipice, precipitous, very deep
bråd|mogen	precocious, premature
bråk	fracas; brawl, fraction, noise, racket, row, trouble
bråka	cause trouble, fight, kick up a fuss, make a noise
bråkig	disorderly, noisy, troublesome, unruly
bråk|del	fraction
bråk|makare	troublemaker
brås på	take after
bråte	rubbish, junk
bråttom	in a hurry, pressed
bröd	bread
brödkniv	bread knife
brödpudding	bread pudding
brödrafolk	brethren, brother nations
brödraskap	brotherhood, fraternity
brödskiva	slice of bread
bröd|föda	bread and butter
bröd|rost	toaster
bröl	noice, shout
bröllop	marriage, wedding
bröllopsdag	wedding day, weddingday
bröllopsfest	wedding feast
bröllopskläder	wedding attire
bröllopsmarsch	wedding march
bröllopsnatt	wedding night
bröst	bosom, breast, chest
bröstcancer	breast cancer
bröstimplantat	breast-implant
bröstmjölk	breastmilk
bröstvårtorna	nipples
bröst|arvinge	direct heir
bröst|korg	thorax
bröst|sim	breaststroke
bröt	broke
bua	boo
bubbel|pool	jacuzzi, whirlpool bath
bubbla	bubble
buckla	buckle, dent
bucklig	buckled, dented
bud	announcement, bid, command, order, message, messenger, offer
budbäraren	The Messenger, messenger
buddhistisk	buddhistic
buddism	Buddhism
buddismen	buddism, the Buddhism
buddister	buddhists, buddist
budget	budget
budget-produktion	low budget production
budgetaspekt	expensises
budgetberedning	budget preparation
budgetera	budgeting
budgetering	Budgeting
budgeteringssystem	budget system
budgetförslag	budget proposal
budgetminister	budgetary minister, finance minister
budgetmyndighet	budget authority, budget office
budgetnedskärningar	budget-cutting
budgetneutral	budget-neutral
budgetplan	budget plan
budgetplaneringen	budget planning
budgetproposition	Budget proposition
budgetsystem	budget system
budgetutfall	budget outcome
budgetår	fiscal year (budget year), tax year
budgetöverskott	budget surplus
budgivning	bidding
budo	budo
budskap	announcement, message
bud|kavle	relay
buffel	buffalo
buffert	buffer, bumper
buffé	buffet, sideboard
buga sig	bow
buk	belly; abdomen
bukett	bouquet, bunch of flowers
bukhinna	peritoneum, stomach lining
bukig	bulging, distended
buklanda	belly-land, make a belly landing
bukspott|körtel	pancreas
bukt	bay, gulf
bukta	belly, bend, curve
buktalardocka	ventriloquist doll
buktaleri	Ventriloquism
buktig	curving, winding
bula	bump, swelling
bulgar	Bulgarian
bulgarien	bulgaria
bulgarisk	Bulgarian
buljong	broth
buljongkuber	Boullion cube, stock cubes
bulkfartyg	bulk cargo, bulk cargo ship, bulk carrier, cargo ferry
bulla	bull
bulldogg	bulldog
bulldozers	bulldozer
bulle	bun, cake, roll
buller	din, noise
bullerbekämpningsstrategi	noise-protection strategy
bullerdämpande	noise reducing
bullerkälla	noise source
bullermätning	measuring noise
bullernivå	noise level
bullersam	noisy
bullerskydd	noise protection, noise damper
bullerstörning	noise disturbance
buller|matta	noise abatement zone, noise contour
bulletin	bulletin
bullra	make a noise
bullrig	loud, noisy
bulnad	swelling
bult	bolt
bulta	beat, knock
bultsax	bolt cutter
bulvan	dummy, front
bumerang	boomerang
bumerangkast	boomerang throw
bumling	boulder
bums	at once, on the spot
bunden	bound
bundit	bound, tied
bundna	bound
bundsförvant	ally
bungalow	bungalow
bungyjump	bungy jump
bunke	bowl
bunker	bunker, pillbox
bunkra	bunker
bunkring	stock up
bunt	bunch, bundle, packet
bunta	bundle, tie (pack) together
bur	cage
bur (skyddsbur)	Cage
bura in	lock up, put in inside
burdus	blunt, brusque
burgen	affluent, well- off, well-to-do
burhöns	cage chickens
burit	carried, worn
burk	(can [US]), jar, pot, tin
burkig	inside-a-can sound
burkmat	canned food
burköppnare	can opener, tin opener
burlesk	burlesque
burra	ruffle
burrig	fluffy, frizzy
burspråk	bay
burundiska	burundian
bus	mischief
busa	be up to mischief
buse	rough, tough, hooligan
busenkel	really simple
bush	bush
busig	mischievous, rowdy, unruly
busig, okynnig, skojfrisk	brandy
business	business
buskage	shrubbery, thicket
buska|blyg	shy
buske	bush
buskighet	bushy
buskis	slapstick
buss	bus, coach
bussa	bus, set
bussförare	bus driver
busshållplats	bus stop
bussig	decent, kind, nice
busslinje	busline, busroute
bussning	bushing
busstrafik	bus services, bus traffic, bus transit
butelj	bottle
buteljering	bottling
buteljkorg	bottle basket
butik	(store [US]), shop
butiksdisk	shop counter
butiksinnehavare	shopkeeper, store owner
butikskedja	chain of stores
butiksstöld	burglary, shop-lifting, shoplifting
butiksägare	shopkeeper
butter	morose, sullen
butterhet	grumpiness
by	breeze, gust, village
bybor	villagers
byffé	buffet
bygd	countryside, district
bygel	hoop, ring
bygga	build, construct, erect
byggarbetsplats	construction site
byggare	builder
bygge	building
byggfirma	Building Company
byggklossar	building-blocks
byggmöjligheter	construction potential
byggnad	building
byggnadsarbetare	construction worker
byggnadsarbete	Constructionwork
byggnadsfirma	construction company
byggnadsföretag	construction company
byggnadsindustri	building industry, construction industry
byggnadsingenjör	Civil Engineer
byggnadskomplex	building complex
byggnadslagstiftning	construction law
byggnadslov	building permission, building permit, construction law, construction licence
byggnadsmaterial	construction material
byggnadssten	building block
byggnadsställningar	scaffolding
byggnads|förbud	building ban
byggnads|nämnd	local housing (building) committee
byggnation	construction work
byggplats	construction place
byggstart	building start
bygg|lov	building permit, planning permission
bygg|mästare	builder, building contractor
byig	gusty
byk	laundry
byling	cop, copper
bylta på	bundle up, wrap up
bylte	bundle, pack
byracka	cur, mongrel
byrå	chest of drawers, office
byråkrati	bureaucracy
byråkratisera	bureaucratization
byråkratisering	Establishment, bureaucratisation
byråkratiseringen	bureaucratization
byråkratisk	bureaucratic
byråkratiskt	bureaucratic
byrålåda	desk drawer, drawer
bysantinerna	Byzantines
bysantinska	byzantine
byst	bust
byta	change, exchange
byte	booty, byte, exchange, loot, plunder, prey, quarry
byteshandel	trade
bytes|balans	balance on current account, current account of the balance of payments
bytes|rätt	right to exchange goods [if not satisfied]
byxa	[pair of] pants [US], [pair of] trousers [UK]
byxben	leg of trouser, trouser leg
byxor	trousers
bäbis	baby
bäck	brook, rivulet
bäcken	basin, bedpan, pelvis
bäckenben	requset
bäcköring	brown trout
bädd	bed
bädda	make one&#39;s bed
bäddbar	bedable
bäddsoffa	couch
bägare	cup, goblet
bägge	both
bälg	bellows
bälte	belt, zone
bälten	belts
bända	prize
bänk	bench
bänka sig	seat oneself
bär	berry
bära	carry; wear
bära sig åt	behave
bärare	carrier, porter, wearer
bärbar	transportable
bärbar dator	laptop, portable computer
bärfrekvens	carrier-wave frequency
bärga	bring in, contain oneself, gather, rescue, salvage, save
bärgad	salvaged
bärgning	salvage (operation), towing
bärgnings|bil	breakdown lorry, wrecking (breakdown) (truck [US])
bärighet	bearing (carrying) capacity, earning capacity
bäring	bearing
bärkraft	strength, supporting capacity
bärnsten	amber
bärnstensgul	amber, amber coloured, amber yellow
bärnstenssmycke	amber jewelry
bärs	beer
bärsa	beer
bärskörd	berry crop, berry harvest
bärsärka|gång	berserk
bäst	best
bästis	pal, chum
bäst|säljare	best-seller
bättra	improve
bättra sig	improve
bättras	improve, improved, improves
bättre	better
bättring	improvement, recovery
bäva	dread, quake, shudder, tremble
bävan	dread
bävar	quail
bäver	beaver
bäverdamm	beaver pond
båda	announce, betoken; bode, both
bådadera	both
både	both
båg	humbug, swindle
bågbro	arch bridge
båge	(motor-)bike, arch, bow, curve
bågform	curve
bågformig	curved
bågna	bend, sag
bågsträng	bowstring
båg|fil	hacksaw
bål	bonfire, fire; pyre, punch, trunk
bålverk	bulwark
bångstyrig	disorderly, unruly
bår	stretcher
bård	border, edging
bår|hus	morgue, mortuary
bås	stall
båt	boat, ship
båtbrygga	boat dock, jetty
båtfärd	boat trip
båtförare	boat driver, boaters, captain, crusing
båtgrav	Ship burial
båthus	boathouse, boatshed
båtmässa	boat fair
båtresa	Boatride, boat journey, boat trip, boattravel
båts|man	boatswain
båtsäsong	boating season
båt|plats	mooring
båtägare	boat-owner
böckling	buckling, smoked Baltic herring
bödel	executioner, hangman
bödlar	executioners
bög	gay, pooftah, queer
böj	bend
böja	bend, bow, curve, flex, incline, inflect, decline [nouns, pronouns, adjectives], conjugate [verbs]
böjbar	bendable, flexible
böjelse	affection, inclination, liking, tendency
böjlig	flexible, pliable, supple
böjning	bend, bending, bow, curve, inflection
böka	grub, poke about, root, rummage
bökig	messy, untidy
böla	bellow, howl, low, moo, wail
böld	abscess, boil
bölja	billow, billow, wave, roll, undulate, surge, swell, wave
bön	appeal, plea, prayer, request, worship
böna	bean, bird, chick, plead (beg) for
bönehus	house of prayer
böneskrift	petition
böneutrop	prayer call
bönfalla	plead, supplicate
bönhöra	grant (hear) prayer
bönor	beans
bönsyrsa	Praying mantis
bön|hus	chapel, meeting-house
böra	ought to, should, should
börd	birth, descent, ancestry
börda	burden, load
bördig	a native of, born in, fertile, fruitful
börja	begin, commence, start
börja om	restart
början	beginning, commencement, start
börs	purse, stock exchange
börshus	marketing office, stock exchange building, stockhouse
börsjobbare	stock broker
börsnoterad	listed on stock exchange
börsrapport	stock market report
börsspekulation	amend, blunt force impact, stock market speculation
börstransaktion	stock transaction
börsvärde	stock exchange value
bössa	gun, rifle, money-box
böta	be fined, pay a fine
böter	fine
bötesbelägga	fine
bötessumma	fine
bötfälla	fine, impose a fine
bövel	devil
c	C
c-klav	kat. c? wannabe
c-språk	third (foreign) language
c/o	c/o, C/o, c.o.
ca	approx.
cabriolet	convertible
cad	CAD
cafeteria	cafeteria
café	café, cafe
calvinistiska	calvinistic
campa	camp
campare	camper
camping	camping
cancer	cancer
cancercell	cancer cell
cancerforskning	cancer research
cancerframkallande	cancer-causing
cancerogen	carcinogenic
cancerskräck	Fear of cancer
cancersvulst	cancer tumor
cancertumör	cancer tumors
cannabis	cannabis
capita	capita
cappuccino	cappuccino
carport	carport
cash	cash
cashewnöt	cashew nut, cashewnut
cavalier	cavalier
cd-romskiva	CD ROM disc
cd-romskivor	cd-roms
cd-romspelare	CD ROm player or CD ROM drive
cd-skiva	CD disk
cd-spelare	CD player or CD-driver
cederkullarna	cedar hills, ceder hills
celciusgrad	centigrade
celeber	celebrated
celebritet	celebrity
celibat	celibacy
cell	cell
cellfönster	cell window
cellgiftsbehandling	chemotherapy
cellist	cellist
cellkärna	cell nucleus
cello	cello
cellofan	cellophane
cellofanpapper	cellophane paper
cellulosa	cellulose
cellulosafoder	cellulose crop
cell|gift	cytotoxin
cell|stoff	cellulose tissue
cement	cement
cementera	cement
cementfabrik	concrete factory
cementgolv	Cement flooring, cement floor
cementvägg	concrete wall
censur	censorship (over, upon)
censurera	censor
center	(center [US]), Centre Party, centre, centre, (center [US])
centerpartiet	The Centre Party
centilong	centilong
centi|liter	(centiliter [US]), centilitre
centi|meter	(centimeter [US]), centimetre
centra	centers
central	(center [US]), central, centre
centrala studiestödsnämnden	the Central Study Assistance Committee
centralamerika	central America
centralbank	central bank
centralbyråkrat	bureaucrat
centraleuropa	central Europe
centralisera	centralize
centraliserad	centralized
centralort	central municipality
centralt	central
central|styrd	centrally controlled (managed)
central|värme	central heating
centrifug	centrifuge
centrifugera	centrifuge
centripetalkraft	centripetal force
centrum	centre, (center [US])
centrumparkering	central parking, centre parking
cerat	lip salve, cerate
ceremoni	ceremony
certainty	Säkerhet
certifierade	certified
certifiering	certification
certifikat	certificate
certifikaten	certificates, the certificates
cesium	caesium, cesium
cesiumklorid	Caesium chloride
chagosöarna	chagos islands
champagne	champagne
champagnevisp	champagne whip
champinjon	(field) mushroom
champion	champion
chans	chance
chansa	take a chance
chansartad	random
chanstagning	risk taking
charad	charade
chargé-d&#39;affaires	chargé d&#39;affaires
chark	cured meats and pâtés, pork butcher&#39;s shop
charkuteri	charcuterie, pork butcher&#39;s shop
charkuteriaffär	butcher shop
charlatan	charlatan
charm	charm
charmera	charm
charmerande	charming
charmig	charming
charter-	charter, chartered
charterflyg	chartered plane
charterresa	charter trip
charterturist	charter tourist, chartertourist
chassi	chassis
chatrum	chat room, chatroom
chatta	chat
chaufför	chauffeur, driver
chaufförplats	drivers seat
chauvinism	chauvinism
chauvinistisk	chauvinistic
check	cheque, (check [US])
checka	check
checka in	check in, register
checkförfalskning	check forgery
checkkontokredit	check account credit
checklista	Checklist
chef	director, head
chefläkare	Head doctor
chefredaktör	editor, editor in chief
chefsbefattning	Managing position
chefsfunktion	Manager feature
chefsideologi	coversion, main ideology, management ideology
chefs|stol	helm
chic	chic
chiffer	cipher, code
chiffongklänning	chiffon dress
chiffonjé	secretaire
chiffrera	encipher
chiffrering	ciphering
chiffreringssystemet	the cypher system
chilen	Chilean
chilensk	Chilean
chilifrukt	chilli
chiligryta	chili stew
chimär	chimaera
chips	chip, potato crisps, (potato chips [US])
chock	shock
chocka	shock
chockad	chocked
chockartad	shocking
chockera	shock
chockerande	chocking
chockmetod	shock method
chockrosa	hot pink, into, you
chockskadad	shock damaged
chockvåg	shockwave
choke	choke
choklad	chocolate
chokladbit	a piece of chocolate
chokladbrun	chocolatebrown
chokladfärgad	brown, chocolate coloured, chocolate-colored, chocolatecolured
chokladglass	chocolate ice cream
chokladkaka	bar of chocolate, choclate bar, chocolate bar, chocolate cake, chocolate tart, chocolate cake
chokladsås	chocolate sauce
chokladtårta	chocolate cake
chose|fri	natural, unaffected
churchill	Churchill
cider	cider
cigarett	cigarette
cigarettproduktion	cigarette-production
cigarr	cigar
cigarraska	cigar ashes
cigarrettfilter	cigarett filters
cigarrettglöd	cigarette glow
cigarrettmärke	cigarette brand
cigarrettpaket	a package of cigarettes, cigarette boxes
cikada	cicada
cirka	approximately
cirka|pris	suggested retail price
cirkel	circle
cirkelformig	circle shaped, circled, circular
cirkelsegment	circle segment
cirkla	circle
cirkulation	circulation
cirkulationspump	circulation pump
cirkulera	circulate
cirkulär	circular
cirkus	circus
cirkusdirektör	circus manager, ringmaster
cirkushäst	circus horse
cirkusnummer	circus act
cirkusprinsessa	circus princess
cirkustält	circus tent
cistern	cistern, tank
citadell	citadel
citat	quotation
citaträtt	Citation right
citat|tecken	quotation mark
citera	quote
citerad	quoted
citron	lemon
citronsaft	lemon juice, lemon squash, lemonade
citronskiva	Lemon slice, slice of lemon
citronsyra	citric acid
citronträd	lemon tree
citrusträd	citrus tree
citrus|frukt	citrus fruit
city	downtown area
civil	civil, civilian
civilbefolkning	civilian
civilförvaltning	civil administration
civilisation	civilization
civilsamhälle	civil society, civilian community, society
civil|ekonom	(Swedish) economics or business school graduate
civil|försvar	civil defence
civil|ingenjör	Master of Engineering
civil|kurage	courage to stand up for one&#39;s beliefs
civil|stånd	civil status
cl	cl
clementin	Clementine
clipper	clipper
clips	clip-on earring
clitoris	clitoris
clown	clown
cm	cm
co	Co.
coach	coach
cocker|spaniel	cocker spaniel
cockney	Cockney
cockpit	cockpit
cockpitbesättningar	cockpit crew, vet nt daaa
cocktail	cocktail
cocktailbjudning	cocktail parties
cocktailglas	cocktail glass
collage	collage
collect call	collect call
college	college
collegetröja	college sweater
collie	collie
colombia	awkward, colombia
colombianerna	Colombians, the columbians
colombiansk	Colombian
colombianska	Colombian
combi	estate car, kombi
comeback	comeback
complementary	KOMPLETTERANDE
container	container
containerfartyg	cargo ship, container ship, container vessel
contraction	sammandragning
controller	controller
cool	cool
copyright	copyright
copywriter	copywriter
cornflakes	cornflakes
countrymusik	country music
countrysång	country singing, country song
courtage	brokerage
cowboy	cowboy
cowboyhatt	cowboy hat
cowboystövlar	cowboy boots
cp	CP
crawl	crawl
crawla	crawl
credo	credo
cricket	Cricket
cricketspel	GAME OF CRICKET, cricket, cricket game, cricketmatch
croissant	croissant
crosscykel	Cross bike
crêpe	crêpe
csn	CSN
cubanska	cuban, cuben
cup	cup
cupvinnare	cup winner
curling	Curling
curry	curry
cv	CV, Curriculum vitae
cyberrymden	cyberspace
cyberteknik	cybertechnology
cykel	bicycle, cycle
cykeldäck	bicycle tires
cykelhandlare	bicycle dealer
cykelhjul	bicycle wheels
cykelkedja	bicycle chain
cykellykta	bicycle light
cykelpedal	bicycle pedal
cykelpump	bicycle pump
cykelreparatör	bicycle repairman
cykelsadel	bicycle seat
cykelslang	bicycle tube
cykeltur	bike ride
cykelvagn	Bicycle trailer, Fedral
cykelverkstad	bicycle shop, bike shop
cykel|bana	bicycle lane, bicycle path
cykla	cycle
cykla mountainbike	mountain biking, ride mountainbike
cyklamen	Cyclamen
cykliskt	cyclic, cyclical, cyclist, cyklic, eurithra
cyklist	cyclist
cyklon	cyclone, cyklon, skönhet
cyklonen	cyclone
cykloner	cyclones
cyklop	cyclop
cyklop|öga	(skin diver&#39;s) mask
cylinder	cylinder
cylindervolym	cylinder volume
cymbaler	cymbals
cyniker	cynic
cynisk	cynical
cynism	cynicism
cypern	Cyprus
cypriot	Cypriot
cysta	cyst
cytologi	cytology
d	D
d.v.s.	i.e.
dadda	baby
dadel	date
dag	day
dagas	dawn
dagbarn|vårdare	childminder
dagboksform	diary form
dagbräckning	daybreak
dagcenter	day care center, day center
dagdröm	day-dream
dagdrömma	daydream
dager	light; daylight
dagg	dew
daggstänkt	dew
dagg|mask	earthworm
daghemsbarn	daycare children
daghemsplats	nursery place
dagis	(diminutive for day nursery)
daglig	everyday
dagligen	daily
dags	due, time
dagsaktuell	day&#39;s news, up to date
dagsarbete	day&#39;s work
dagsbehov	daily ration
dagsdos	Taurin, daily dosage, daily dose, daily doses, daily dosis, dayly dose, dayly dosis
dagskonsumtion	daily consumption
dagskurs	day course
dagslång	day-long
dagslön	a days salary
dagsnyheter	daily news, today&#39;s news
dagspris	daily price
dagsregn	rain all day
dagsverkare	dayworker
dags|bot	[means-related] unit fine
dags|böter	means-related fine, unit fine
dags|ljus	daylight
dags|meja	midday thaw
dags|press	daily press
dags|tidning	daily
dags|verke	day work
dag|barn	charge
dag|bok	diary
dag|brott	open-cast mine, (pit mine [US])
dag|brytning	(pit mining [US]), open-cast mining
dag|central	day centre
dag|drivare	idler, loafer
dag|hem	day nursery
dag|jämning	equinox
dag|mamma	day mother
dag|ordning	agenda
dag|penning	daily allowance
dag|slända	mayfly
dag|tid	daytime
dag|traktamente	per diem allowance
dag|understöd	daily subsidy
dal	valley
dal-	Dalecarlian
dala	descend, fall, go down, sink
dalarna	Dalecarlia
dala|häst	Dalecarlian (painted wooden) horse
dalbotten	bottom of the valley
daller	quivering, trembling, wobbling
dallra	quiver, tremble, wobble
dalmatinervalp	Dalmatian puppy, Dalmation puppy
dalmålning	painting from Dalarna
dalsland	Dalsland
dalta	coddle, pamper, pet
dam	draughts, (checkers [US]), lady, madam, queen
damasker	gaiters, leggings, spats
damaskus	Damascus
damast	damask
damfotboll	female football
damkläder	women&#39;s clothing
damlag	women&#39;s teams
damm	dam, dust, pond, pool
damma	dust, raise (make) dust
dammhandduk	Dust cloth, dusters
dammig	dusty
dammighet	dustiness, dusty, dustyness
dammkorn	amorf, dust particle, dust paticle, piece of dust, pursue, speck of dust
dammkvalster	dust mite
dammlager	dust layer
dammode	women&#39;s fashion
dammoln	dust cloud
dammråtta	ball of fluff, dust kitten, dust rat
dammsuga	vacuum, vacuum clean
dammsugarmunstycke	vaccum piece, vacuum attachment, vacuum cleaner piece
damm|sugare	vacuum cleaner
damm|trasa	dust cloth, dust rag, duster
damning	dusting
damoklessvärd	sword of Damocles
damtidning	consistency, women&#39;s magazine, womens magazine
dam|binda	(sanitary napkin [US]), sanitary towel
dam|frisering	ladies&#39; hairdressing salon
dam|frisör	ladies&#39; hairdresser
dam|rum	ladies&#39; (cloak)room, women&#39;s room
dan	day
dana	fashion, shape, form, mould
danaiderna	Daughters of Danaus
danmark	denmark
dans	dance
dansa	dance
dansant	danced
dansare	dancer
danserskor	dancers, female dancers
dansgrupp	dance group, group of dancers
dansk	Dane, Danish
danska	Dane, Danish
danskurs	dance class, dance classes
danslektion	dance lesson, dance lessons
danslokal	Dancing club
danslärare	dance instructor, dance teachers, danceteacher
dansmusik	dance music
dans|bana	(open-air) dance-floor
dansör	dancer
dar	days
darr	shake
darra	quaver, quiver, shiver, tremble
darrig	shaky, trembly
dart	darts
dask	slap
daska	spank
dass	privy, outhouse, john, loo
dasspapper	toilet paper
data	computer, data
data-, dator-	computer
databas	database
databedrägeri	computer fraud
databehandling	data processing
databrott	cybercrime
dataexpert	IT expert, computer expert, computer or IT expert
datainspektionen	The Data Inspection Board
datakonst	computer art
datakunskap	computing
datalagrad	computerstored
datamaskin	computer
dataminne	computer memory
datanät	computer networks
dataprogram	software
datastyrda	computer driven
datasystem	computer system
datasäkerhetsfråga	matter of computer security
data|register	computer file
